avg_att;avg_def;points;team;position;QR
0.12534550229929345;-0.1387600910327902;6;Wales;3;
0.09672854138967626;0.15076370984217996;6;France;4;
0.17936315296032354;-0.5606647463738842;8;Ireland;1;winners
-0.5498432686774545;0.289371684719861;2;Scotland;5;
-0.25141755385327486;0.5151006243150366;0;Italy;6;wooden_spoon
0.3998236258814357;-0.2558111814704039;8;England;2;triple_crown
