ank	Team							
1	Ireland 	5	4	0	1	119	56	8
2	England 	5	4	0	1	157	100	8
3	Wales   	5	4	0	1	146	93	8
4	France  	5	2	0	3	103	101	4
5	Italy   	5	1	0	4	62	182	2
6	Scotland	5	0	0	5	73	128	0
